#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
PDENDC454_28655	1169144.KB910949_gene3551	6.7e-140	404.0	COG2334@1|root,COG2334@2|Bacteria,1TSDY@1239|Firmicutes,4HE1J@91061|Bacilli,1ZB98@1386|Bacillus	91061|Bacilli	S	Ecdysteroid kinase	-	-	-	-	-	-	-	-	-	-	-	-	APH
PDENDC454_28660	1122927.KB895414_gene5427	7.4e-88	264.0	COG1713@1|root,COG1713@2|Bacteria,1V44H@1239|Firmicutes,4HH8H@91061|Bacilli,26VP4@186822|Paenibacillaceae	91061|Bacilli	H	HD domain	-	-	-	-	-	-	-	-	-	-	-	-	HD
PDENDC454_28675	263358.VAB18032_13455	4.48e-69	214.0	COG2320@1|root,COG2320@2|Bacteria,2GTS4@201174|Actinobacteria,4DEZ5@85008|Micromonosporales	201174|Actinobacteria	S	GrpB protein	-	-	-	-	-	-	-	-	-	-	-	-	GrpB
PDENDC454_28680	1007103.AFHW01000172_gene2587	9.37e-76	230.0	29YEG@1|root,30K91@2|Bacteria,1UNIE@1239|Firmicutes,4IUFH@91061|Bacilli,26XXB@186822|Paenibacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Cass2
PDENDC454_28685	1052684.PPM_1463	1e-56	183.0	COG1859@1|root,COG1859@2|Bacteria,1V49Y@1239|Firmicutes,4HHHZ@91061|Bacilli,26WZH@186822|Paenibacillaceae	91061|Bacilli	J	Removes the 2'-phosphate from RNA via an intermediate in which the phosphate is ADP-ribosylated by NAD followed by a presumed transesterification to release the RNA and generate ADP- ribose 1''-2''-cyclic phosphate (APPR P). May function as an ADP- ribosylase	kptA	-	-	ko:K07559	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	PTS_2-RNA
PDENDC454_28690	1122927.KB895413_gene1404	6.34e-72	227.0	294DM@1|root,2ZRTK@2|Bacteria,1V8UA@1239|Firmicutes,4HN3K@91061|Bacilli,26X4I@186822|Paenibacillaceae	91061|Bacilli	S	Domain of unknown function (DUF4184)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4184
PDENDC454_28695	1268072.PSAB_19445	1.27e-40	143.0	294ES@1|root,2ZRUN@2|Bacteria,1W48R@1239|Firmicutes,4HZPT@91061|Bacilli	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDENDC454_28705	1536774.H70357_18995	1.01e-22	93.6	2DZE5@1|root,32V8E@2|Bacteria,1VHNT@1239|Firmicutes,4HN39@91061|Bacilli,270DD@186822|Paenibacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDENDC454_28710	1196323.ALKF01000188_gene4833	2.86e-121	354.0	2DVGC@1|root,33VS2@2|Bacteria,1VW90@1239|Firmicutes,4HWKY@91061|Bacilli,26Y2C@186822|Paenibacillaceae	91061|Bacilli	S	DnaJ molecular chaperone homology domain	-	-	-	-	-	-	-	-	-	-	-	-	-
PDENDC454_28715	1196323.ALKF01000188_gene4832	5e-107	314.0	COG2345@1|root,COG2345@2|Bacteria,1VUCZ@1239|Firmicutes,4HVR1@91061|Bacilli,26XQW@186822|Paenibacillaceae	91061|Bacilli	K	DeoR-like helix-turn-helix domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_11,HTH_5
PDENDC454_28360	1196323.ALKF01000204_gene4395	5.19e-293	803.0	COG0766@1|root,COG0766@2|Bacteria,1TPAU@1239|Firmicutes,4H9KI@91061|Bacilli,26RQT@186822|Paenibacillaceae	91061|Bacilli	M	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine	murA	-	2.5.1.7	ko:K00790	ko00520,ko00550,ko01100,map00520,map00550,map01100	-	R00660	RC00350	ko00000,ko00001,ko01000,ko01011	-	-	-	EPSP_synthase
PDENDC454_28365	1196323.ALKF01000204_gene4394	5.04e-44	144.0	COG4836@1|root,COG4836@2|Bacteria,1VK5C@1239|Firmicutes,4HR8D@91061|Bacilli,26ZZM@186822|Paenibacillaceae	91061|Bacilli	S	membrane	ywzB	-	-	-	-	-	-	-	-	-	-	-	DUF1146
PDENDC454_28370	1196323.ALKF01000204_gene4393	0.0	1232.0	COG1404@1|root,COG1404@2|Bacteria,1UGHG@1239|Firmicutes,4HC8T@91061|Bacilli,26TIJ@186822|Paenibacillaceae	91061|Bacilli	O	Belongs to the peptidase S8 family	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_S8,SLH
PDENDC454_28375	1196323.ALKF01000204_gene4392	5.29e-259	723.0	COG1007@1|root,COG1007@2|Bacteria,1TR55@1239|Firmicutes,4HBIJ@91061|Bacilli,26TI3@186822|Paenibacillaceae	91061|Bacilli	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be a menaquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoN	GO:0003674,GO:0003824,GO:0003954,GO:0008137,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114	1.6.5.3	ko:K00343	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Proton_antipo_M
PDENDC454_28380	1196323.ALKF01000204_gene4391	5.98e-301	831.0	COG1008@1|root,COG1008@2|Bacteria,1UHSH@1239|Firmicutes,4IS87@91061|Bacilli,26TJ2@186822|Paenibacillaceae	91061|Bacilli	C	proton-translocating NADH-quinone oxidoreductase, chain M	nuoM	-	1.6.5.3	ko:K00342	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Oxidored_q5_N,Proton_antipo_M
PDENDC454_28385	1196323.ALKF01000204_gene4390	0.0	1009.0	COG1009@1|root,COG1009@2|Bacteria,1TQW4@1239|Firmicutes,4H9YR@91061|Bacilli,26SE0@186822|Paenibacillaceae	91061|Bacilli	CP	Subunit A of antiporter complex involved in resistance to high concentrations of Na , K , Li and or alkali	nuoL	-	1.6.5.3	ko:K00341	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Proton_antipo_C,Proton_antipo_M,Proton_antipo_N
PDENDC454_28390	1117108.PAALTS15_07119	1.88e-54	171.0	COG0713@1|root,COG0713@2|Bacteria,1V9Z8@1239|Firmicutes,4HJ9Q@91061|Bacilli,26YCM@186822|Paenibacillaceae	91061|Bacilli	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be a menaquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoK	GO:0003674,GO:0003824,GO:0003954,GO:0008137,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114	1.6.5.3	ko:K00340	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Oxidored_q2
PDENDC454_28395	1196323.ALKF01000204_gene4388	1.11e-93	276.0	COG0839@1|root,COG0839@2|Bacteria,1VAQI@1239|Firmicutes,4IRSV@91061|Bacilli,276WS@186822|Paenibacillaceae	91061|Bacilli	C	Belongs to the complex I subunit 6 family	-	-	1.6.5.3	ko:K00339	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Oxidored_q3
PDENDC454_28400	1117108.PAALTS15_07129	7.05e-79	237.0	COG1143@1|root,COG1143@2|Bacteria,1V4RX@1239|Firmicutes,4HHVU@91061|Bacilli,26UVH@186822|Paenibacillaceae	91061|Bacilli	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoI	-	1.6.5.3	ko:K00338	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Fer4
PDENDC454_28405	1196323.ALKF01000204_gene4386	1.26e-221	613.0	COG1005@1|root,COG1005@2|Bacteria,1TQNU@1239|Firmicutes,4HC8R@91061|Bacilli,26T6C@186822|Paenibacillaceae	91061|Bacilli	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone	nuoH	GO:0003674,GO:0003824,GO:0003954,GO:0008137,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114	1.6.5.3	ko:K00337	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	NADHdh
PDENDC454_28410	1196323.ALKF01000204_gene4385	9.37e-255	699.0	COG0649@1|root,COG0649@2|Bacteria,1TQAR@1239|Firmicutes,4HA4Y@91061|Bacilli,26T7E@186822|Paenibacillaceae	91061|Bacilli	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be a menaquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoD	GO:0003674,GO:0003824,GO:0003954,GO:0008137,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114	1.6.5.3	ko:K00333	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Complex1_49kDa
PDENDC454_28415	1117108.PAALTS15_07144	5.74e-90	283.0	COG0852@1|root,COG0852@2|Bacteria,1UFNI@1239|Firmicutes,4HDV1@91061|Bacilli,26RPJ@186822|Paenibacillaceae	91061|Bacilli	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be a menaquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoC	-	1.6.5.3	ko:K00332	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Complex1_30kDa
PDENDC454_28420	1117108.PAALTS15_07149	1.03e-118	339.0	COG0377@1|root,COG0377@2|Bacteria,1TZS1@1239|Firmicutes,4HACH@91061|Bacilli,26UVA@186822|Paenibacillaceae	91061|Bacilli	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be a menaquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoB	GO:0003674,GO:0003824,GO:0003954,GO:0008137,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114	1.6.5.3	ko:K00331	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Oxidored_q6
PDENDC454_28425	1196323.ALKF01000204_gene4382	4.66e-75	225.0	COG0838@1|root,COG0838@2|Bacteria,1V6P3@1239|Firmicutes,4HIFX@91061|Bacilli,26XI4@186822|Paenibacillaceae	91061|Bacilli	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be a menaquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoA	-	1.6.5.3	ko:K00330	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Oxidored_q4
PDENDC454_28430	1117108.PAALTS15_07169	9.29e-72	218.0	COG0355@1|root,COG0355@2|Bacteria,1VA89@1239|Firmicutes,4HKHS@91061|Bacilli,26Y3T@186822|Paenibacillaceae	91061|Bacilli	C	Produces ATP from ADP in the presence of a proton gradient across the membrane	atpC	GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006754,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0015672,GO:0015985,GO:0015986,GO:0016020,GO:0016469,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0032991,GO:0033178,GO:0034220,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044425,GO:0044464,GO:0045259,GO:0045261,GO:0046034,GO:0046390,GO:0046483,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1902600	-	ko:K02114	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194	3.A.2.1	-	-	ATP-synt_DE,ATP-synt_DE_N
PDENDC454_28435	1196323.ALKF01000204_gene4378	0.0	871.0	COG0055@1|root,COG0055@2|Bacteria,1TPGF@1239|Firmicutes,4HAT6@91061|Bacilli,26S93@186822|Paenibacillaceae	91061|Bacilli	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits	atpD	-	3.6.3.14	ko:K02112	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194,ko01000	3.A.2.1	-	iSB619.SA_RS10965	ATP-synt_ab,ATP-synt_ab_N
PDENDC454_28440	1196323.ALKF01000204_gene4377	4.08e-153	434.0	COG0224@1|root,COG0224@2|Bacteria,1TPBX@1239|Firmicutes,4HB0E@91061|Bacilli,26SNU@186822|Paenibacillaceae	91061|Bacilli	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex	atpG	-	-	ko:K02115	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194	3.A.2.1	-	iSB619.SA_RS10970,iYO844.BSU36820	ATP-synt
PDENDC454_28445	1196323.ALKF01000204_gene4376	0.0	904.0	COG0056@1|root,COG0056@2|Bacteria,1TNZ8@1239|Firmicutes,4HAMZ@91061|Bacilli,26SGG@186822|Paenibacillaceae	91061|Bacilli	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit	atpA	-	3.6.3.14	ko:K02111	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194,ko01000	3.A.2.1	-	iSB619.SA_RS10975	ATP-synt_ab,ATP-synt_ab_C,ATP-synt_ab_N
PDENDC454_28450	1196323.ALKF01000204_gene4375	1.14e-64	203.0	COG0712@1|root,COG0712@2|Bacteria,1VAG3@1239|Firmicutes,4HKFW@91061|Bacilli,26UM4@186822|Paenibacillaceae	91061|Bacilli	C	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation	atpH	-	-	ko:K02113	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194	3.A.2.1	-	-	OSCP
PDENDC454_28455	1117108.PAALTS15_07194	3.93e-72	221.0	COG0711@1|root,COG0711@2|Bacteria,1VB85@1239|Firmicutes,4HM64@91061|Bacilli,26XGK@186822|Paenibacillaceae	91061|Bacilli	C	Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0)	atpF	-	-	ko:K02109	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194	3.A.2.1	-	iYO844.BSU36850	ATP-synt_B
