,,,,20XA,,20XB,,20XD,,20VB,,20VC,,20VD,,44XC,,44XD,,44XE,,44VA,,44VC,,44VE,,,
AHKH01000198.1,10924,11154,230,4714,20.49565217,3979,17.3,8576,37.28695652,3510,15.26086957,5055,21.97826087,4463,19.40434783,6284,27.32173913,4321,18.78695652,6928,30.12173913,4078,17.73043478,3595,15.63043478,6932,30.13913043,PDENDC454_28585,"""unassigned_transcript_10""; db_xref ""NCBI_GP:EHQ58776.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28585""; product ""hypothetical protein""; protein_id ""EHQ58776.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,11157,12146,989,6163,6.231547017,6132,6.200202224,11940,12.07280081,4426,4.475227503,11588,11.71688574,6500,6.572295248,6429,6.500505561,4788,4.841253792,5844,5.908998989,6264,6.333670374,3385,3.422649141,10064,10.17593529,PDENDC454_28590,"""unassigned_transcript_11""; db_xref ""NCBI_GP:EHQ58777.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28590""; product ""hypothetical protein""; protein_id ""EHQ58777.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,12397,13086,689,28434,41.26850508,17443,25.31640058,14669,21.29027576,19235,27.91727141,33572,48.7256894,10373,15.05515239,19475,28.26560232,12483,18.11756168,23516,34.13062409,17034,24.72278665,5832,8.464441219,13464,19.5413643,PDENDC454_28595,"""unassigned_transcript_12""; db_xref ""NCBI_GP:EHQ58778.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28595""; note ""COG2186 Transcriptional regulators""; product ""GntR family transcriptional regulator""; protein_id ""EHQ58778.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,13122,13904,782,59379,75.93222506,53400,68.28644501,44819,57.31329923,42545,54.40537084,82360,105.3196931,40569,51.87851662,38116,48.74168798,39384,50.36317136,75083,96.0140665,38448,49.16624041,25010,31.98209719,33163,42.40792839,PDENDC454_28600,"""unassigned_transcript_13""; db_xref ""NCBI_GP:EHQ58779.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28600""; note ""COG1119 ABC-type molybdenum transport system, ATPase component/photorepair protein PhrA""; product ""ABC transporter""; protein_id ""EHQ58779.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,14032,14418,386,5285,13.69170984,2566,6.647668394,2836,7.347150259,890,2.305699482,2891,7.489637306,5323,13.79015544,14411,37.33419689,3295,8.53626943,23635,61.23056995,5522,14.30569948,3055,7.914507772,6255,16.20466321,PDENDC454_28605,"""unassigned_transcript_14""; db_xref ""NCBI_GP:EHQ58780.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28605""; product ""hypothetical protein""; protein_id ""EHQ58780.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,14562,14780,218,909,4.169724771,772,3.541284404,642,2.944954128,142,0.651376147,608,2.788990826,116,0.532110092,699,3.206422018,289,1.325688073,1940,8.899082569,485,2.224770642,415,1.903669725,585,2.683486239,PDENDC454_28610,"""unassigned_transcript_15""; db_xref ""NCBI_GP:EHQ58781.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28610""; product ""hypothetical protein""; protein_id ""EHQ58781.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,14720,15097,377,245,0.649867374,2537,6.729442971,1615,4.283819629,1710,4.535809019,1269,3.366047745,1294,3.432360743,580,1.538461538,953,2.527851459,1482,3.931034483,1197,3.175066313,1474,3.909814324,1585,4.204244032,PDENDC454_28615,"""unassigned_transcript_16""; db_xref ""NCBI_GP:EHQ58782.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28615""; product ""hypothetical protein""; protein_id ""EHQ58782.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,15220,18621,3401,1648921,484.8341664,2210213,649.8715084,1848986,543.6595119,1222810,359.5442517,1531290,450.2469862,1272072,374.0288151,1396621,410.6501029,1672467,491.7574243,1957899,575.6833284,1274418,374.7186122,1796308,528.1705381,1755038,516.0358718,PDENDC454_28620,"""unassigned_transcript_17""; db_xref ""NCBI_GP:EHQ58783.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28620""; product ""copper amine oxidase domain-containing protein""; protein_id ""EHQ58783.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,18812,19354,542,34353,63.38191882,30696,56.63468635,31492,58.10332103,18284,33.73431734,31764,58.60516605,28025,51.70664207,24535,45.26752768,23659,43.65129151,36012,66.44280443,18001,33.21217712,22352,41.2398524,16925,31.22693727,PDENDC454_28625,"""unassigned_transcript_18""; db_xref ""NCBI_GP:EHQ58784.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28625""; note ""COG3575 Uncharacterized protein conserved in bacteria""; product ""hypothetical protein""; protein_id ""EHQ58784.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,19397,20206,809,79417,98.16687268,83408,103.1001236,86002,106.3065513,46575,57.5710754,92259,114.0407911,67603,83.56365884,62359,77.0815822,60998,75.39925834,73461,90.80469716,46926,58.00494438,61025,75.43263288,64223,79.38566131,PDENDC454_28630,"""unassigned_transcript_19""; db_xref ""NCBI_GP:EHQ58785.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28630""; note ""COG0500 SAM-dependent methyltransferases""; product ""putative methyltransferase""; protein_id ""EHQ58785.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,20250,21059,809,53158,65.70828183,52126,64.43263288,63753,78.80469716,26815,33.14585909,63702,78.74165637,45900,56.73671199,38208,47.22867738,43308,53.53275649,39542,48.8776267,39895,49.31396786,33619,41.55624227,37617,46.49814586,PDENDC454_28635,"""unassigned_transcript_20""; db_xref ""NCBI_GP:EHQ58786.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28635""; product ""GCN5-like N-acetyltransferase""; protein_id ""EHQ58786.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,21156,21698,542,37343,68.89852399,36411,67.17896679,41683,76.90590406,19425,35.83948339,42603,78.60332103,30319,55.93911439,22154,40.87453875,24874,45.89298893,29259,53.98339483,24371,44.96494465,21715,40.06457565,18003,33.21586716,PDENDC454_28640,"""unassigned_transcript_21""; db_xref ""NCBI_GP:EHQ58787.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28640""; note ""COG1670 Acetyltransferases, including N-acetylases of ribosomal proteins""; product ""acetyltransferase""; protein_id ""EHQ58787.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,21726,22106,380,9561,25.16052632,11699,30.78684211,11467,30.17631579,5692,14.97894737,12864,33.85263158,6544,17.22105263,6642,17.47894737,9211,24.23947368,10372,27.29473684,6265,16.48684211,6251,16.45,3452,9.084210526,PDENDC454_28645,"""unassigned_transcript_22""; db_xref ""NCBI_GP:EHQ58788.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28645""; product ""short chain dehydrogenase""; protein_id ""EHQ58788.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,22188,23099,911,30492,33.47091109,29711,32.61361142,38560,42.32711306,20801,22.83315038,43873,48.15916575,33603,36.88583974,20246,22.22392975,32043,35.17343578,29280,32.14050494,23427,25.71569704,20850,22.88693743,24484,26.87596048,PDENDC454_28650,"""unassigned_transcript_23""; db_xref ""NCBI_GP:EHQ58789.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28650""; product ""hypothetical protein""; protein_id ""EHQ58789.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,23193,24128,935,36365,38.89304813,31536,33.72834225,36790,39.34759358,17696,18.92620321,39890,42.6631016,22473,24.03529412,22340,23.89304813,32607,34.87379679,36244,38.76363636,28753,30.75187166,21425,22.9144385,18488,19.77326203,PDENDC454_28655,"""unassigned_transcript_24""; db_xref ""NCBI_GP:EHQ58790.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28655""; note ""COG2334 Putative homoserine kinase type II (protein kinase fold)""; product ""hypothetical protein""; protein_id ""EHQ58790.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,24286,24918,632,91693,145.0838608,94724,149.8797468,88285,139.6914557,66948,105.9303797,111523,176.460443,60821,96.23575949,52704,83.39240506,51221,81.04588608,73486,116.2753165,46299,73.25791139,40180,63.57594937,31729,50.20411392,PDENDC454_28660,"""unassigned_transcript_25""; db_xref ""NCBI_GP:EHQ58791.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28660""; note ""COG1713 Predicted HD superfamily hydrolase involved in NAD metabolism""; product ""metal dependent phosphohydrolase""; protein_id ""EHQ58791.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,25381,25689,308,400,1.298701299,265,0.86038961,693,2.25,363,1.178571429,492,1.597402597,270,0.876623377,136,0.441558442,544,1.766233766,869,2.821428571,99,0.321428571,395,1.282467532,1304,4.233766234,PDENDC454_28665,"""unassigned_transcript_26""; db_xref ""NCBI_GP:EHQ58792.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28665""; note ""COG0601 ABC-type dipeptide/oligopeptide/nickel transport systems, permease components""; product ""hypothetical protein""; protein_id ""EHQ58792.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,25753,26136,383,907,2.368146214,114,0.297650131,34,0.088772846,505,1.318537859,476,1.242819843,0,0,1675,4.373368146,0,0,795,2.075718016,1022,2.668407311,358,0.934725849,831,2.169712794,PDENDC454_28670,"""unassigned_transcript_27""; db_xref ""NCBI_GP:EHQ58793.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28670""; note ""COG0346 Lactoylglutathione lyase and related lyases""; product ""hypothetical protein""; protein_id ""EHQ58793.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,26320,26862,542,10999,20.29335793,10608,19.57195572,8999,16.60332103,3735,6.891143911,7889,14.55535055,7996,14.75276753,6917,12.76199262,7222,13.32472325,5950,10.97785978,8509,15.69926199,4940,9.114391144,8767,16.17527675,PDENDC454_28675,"""unassigned_transcript_28""; db_xref ""NCBI_GP:EHQ58794.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28675""; note ""COG2320 Uncharacterized conserved protein""; product ""hypothetical protein""; protein_id ""EHQ58794.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,26907,27392,485,7944,16.37938144,11997,24.73608247,7924,16.33814433,3630,7.484536082,8791,18.1257732,6760,13.93814433,4362,8.993814433,9016,18.58969072,9084,18.72989691,6405,13.20618557,5098,10.51134021,7717,15.91134021,PDENDC454_28680,"""unassigned_transcript_29""; db_xref ""NCBI_GP:EHQ58795.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28680""; product ""hypothetical protein""; protein_id ""EHQ58795.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,27413,27961,548,11978,21.85766423,14994,27.36131387,11832,21.59124088,6350,11.58759124,16132,29.4379562,9183,16.75729927,7875,14.37043796,6941,12.66605839,16264,29.67883212,9904,18.0729927,8635,15.75729927,9716,17.72992701,PDENDC454_28685,"""unassigned_transcript_30""; db_xref ""NCBI_GP:EHQ58796.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28685""; note ""COG1859 RNA:NAD 2'-phosphotransferase""; product ""phosphotransferase kpta/tpt1""; protein_id ""EHQ58796.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,28041,28781,740,11003,14.86891892,8984,12.14054054,14695,19.85810811,7802,10.54324324,11389,15.39054054,5656,7.643243243,6409,8.660810811,9733,13.1527027,7297,9.860810811,5994,8.1,4430,5.986486486,5957,8.05,PDENDC454_28690,"""unassigned_transcript_31""; db_xref ""NCBI_GP:EHQ58797.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28690""; product ""hypothetical protein""; protein_id ""EHQ58797.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,28876,29442,566,529,0.934628975,557,0.98409894,139,0.245583039,225,0.397526502,591,1.044169611,50,0.088339223,0,0,280,0.494699647,1129,1.994699647,51,0.090106007,218,0.385159011,365,0.644876325,PDENDC454_28695,"""unassigned_transcript_32""; db_xref ""NCBI_GP:EHQ58798.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28695""; product ""hypothetical protein""; protein_id ""EHQ58798.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,29494,29688,194,1357,6.994845361,1087,5.603092784,2067,10.65463918,690,3.556701031,2515,12.96391753,977,5.036082474,294,1.515463918,87,0.448453608,991,5.108247423,1616,8.329896907,687,3.541237113,1641,8.458762887,PDENDC454_28700,"""unassigned_transcript_33""; db_xref ""NCBI_GP:EHQ58799.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28700""; product ""hypothetical protein""; protein_id ""EHQ58799.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,29723,30094,371,6348,17.11051213,5363,14.45552561,6905,18.61185984,2696,7.266846361,6436,17.34770889,4767,12.8490566,5467,14.73584906,4048,10.91105121,3668,9.886792453,4068,10.96495957,3038,8.188679245,3882,10.46361186,PDENDC454_28705,"""unassigned_transcript_34""; db_xref ""NCBI_GP:EHQ58800.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28705""; product ""hypothetical protein""; protein_id ""EHQ58800.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,30341,31189,848,6079,7.168632075,4374,5.158018868,4707,5.550707547,1765,2.081367925,6658,7.851415094,3632,4.283018868,48344,57.00943396,43030,50.74292453,77234,91.07783019,42210,49.7759434,31911,37.63089623,46996,55.41981132,PDENDC454_28710,"""unassigned_transcript_35""; db_xref ""NCBI_GP:EHQ58801.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28710""; note ""COG2214 DnaJ-class molecular chaperone""; product ""hypothetical protein""; protein_id ""EHQ58801.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,31189,31863,674,3033,4.5,3758,5.575667656,1290,1.913946588,1080,1.602373887,4203,6.235905045,5124,7.602373887,24239,35.96290801,22028,32.68249258,33254,49.33827893,26998,40.05637982,11722,17.39169139,22055,32.72255193,PDENDC454_28715,"""unassigned_transcript_36""; db_xref ""NCBI_GP:EHQ58802.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28715""; note ""COG2345 Predicted transcriptional regulator""; product ""putative transcriptional regulator""; protein_id ""EHQ58802.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000197.1,335,1660,1325,117927,89.00150943,114767,86.61660377,86087,64.97132075,54969,41.48603774,106737,80.55622642,79963,60.34943396,82401,62.18943396,67222,50.73358491,98108,74.04377358,79526,60.01962264,49248,37.16830189,59471,44.88377358,PDENDC454_28360,"""unassigned_transcript_37""; db_xref ""NCBI_GP:EHQ58803.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28360""; note ""COG0766 UDP-N-acetylglucosamine enolpyruvyl transferase""; product ""UDP-N-acetylglucosamine 1-carboxyvinyltransferase""; protein_id ""EHQ58803.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000197.1,1962,2219,257,28774,111.9610895,29715,115.6225681,31686,123.2918288,17407,67.73151751,32058,124.7392996,24141,93.93385214,16779,65.28793774,11375,44.26070039,13571,52.80544747,10088,39.25291829,10169,39.56809339,14320,55.71984436,PDENDC454_28365,"""unassigned_transcript_38""; db_xref ""NCBI_GP:EHQ58804.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28365""; note ""COG4836 Predicted membrane protein""; product ""hypothetical protein""; protein_id ""EHQ58804.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000197.1,2347,5208,2861,220993,77.24327158,216750,75.7602237,232571,81.29010835,128119,44.78119539,277780,97.0919259,185091,64.69451241,147235,51.46277525,130307,45.54596295,186908,65.32960503,148068,51.75393219,133774,46.757777,146795,51.30898287,PDENDC454_28370,"""unassigned_transcript_39""; db_xref ""NCBI_GP:EHQ58805.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28370""; note ""COG1404 Subtilisin-like serine proteases""; product ""peptidase S8/S53 subtilisin kexin sedolisin""; protein_id ""EHQ58805.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000197.1,5702,7243,1541,557334,361.6703439,653030,423.770279,760076,493.2355613,424694,275.596366,681795,442.4367294,485194,314.8565866,362125,234.9935107,514411,333.816353,404653,262.5911746,266384,172.8643738,379945,246.5574302,433448,281.2770928,PDENDC454_28375,"""unassigned_transcript_40""; db_xref ""NCBI_GP:EHQ58806.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28375""; note ""COG1007 NADH:ubiquinone oxidoreductase subunit 2 (chain N)""; product ""proton-translocating NADH-quinone oxidoreductase, chain N""; protein_id ""EHQ58806.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000197.1,7251,8861,1610,544063,337.9273292,576234,357.9093168,686526,426.4136646,389054,241.6484472,606215,376.5310559,426123,264.6726708,323521,200.9447205,476345,295.8664596,381196,236.7677019,245425,152.4378882,358916,222.9291925,448319,278.4590062,PDENDC454_28380,"""unassigned_transcript_41""; db_xref ""NCBI_GP:EHQ58807.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28380""; note ""COG1008 NADH:ubiquinone oxidoreductase subunit 4 (chain M)""; product ""NADH:ubiquinone oxidoreductase subunit M""; protein_id ""EHQ58807.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000197.1,8865,10757,1892,369486,195.2885835,395011,208.7795983,463054,244.743129,239084,126.3657505,439873,232.4910148,274586,145.1300211,232936,123.1162791,335286,177.2124736,278490,147.1934461,181595,95.98044397,261592,138.2621564,278087,146.980444,PDENDC454_28385,"""unassigned_transcript_42""; db_xref ""NCBI_GP:EHQ58808.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28385""; note ""COG1009 NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit""; product ""NADH:ubiquinone oxidoreductase subunit L""; protein_id ""EHQ58808.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000197.1,10780,11088,308,66158,214.7987013,67832,220.2337662,76053,246.9253247,41449,134.5746753,75608,245.4805195,49986,162.2922078,47534,154.3311688,62265,202.1590909,62397,202.5876623,29680,96.36363636,45874,148.9415584,46245,150.1461039,PDENDC454_28390,"""unassigned_transcript_43""; db_xref ""NCBI_GP:EHQ58809.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28390""; note ""COG0713 NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)""; product ""NADH:ubiquinone oxidoreductase subunit K""; protein_id ""EHQ58809.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000197.1,11092,11610,518,78851,152.2220077,90487,174.6853282,112127,216.46139,53519,103.3185328,109574,211.5328185,65284,126.030888,58244,112.4401544,72639,140.2297297,75013,144.8127413,37941,73.24517375,58639,113.2027027,57992,111.953668,PDENDC454_28395,"""unassigned_transcript_44""; db_xref ""NCBI_GP:EHQ58810.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28395""; note ""COG0839 NADH:ubiquinone oxidoreductase subunit 6 (chain J)""; product ""NADH:ubiquinone oxidoreductase subunit J""; protein_id ""EHQ58810.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000197.1,11606,12055,449,74601,166.1492205,77975,173.6636971,98921,220.3140312,49277,109.7483296,94930,211.4253898,74998,167.0334076,65635,146.1804009,77219,171.9799555,63029,140.376392,37232,82.922049,57223,127.4454343,53249,118.5946548,PDENDC454_28400,"""unassigned_transcript_45""; db_xref ""NCBI_GP:EHQ58811.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28400""; note ""COG1143 Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)""; product ""NADH dehydrogenase subunit I""; protein_id ""EHQ58811.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000197.1,12075,13082,1007,246271,244.5590864,267602,265.7418073,318007,315.796425,158120,157.020854,316027,313.8301887,200208,198.816286,170392,169.2075472,243015,241.32572,199716,198.3277061,124993,124.1241311,190729,189.4031778,193495,192.1499503,PDENDC454_28405,"""unassigned_transcript_46""; db_xref ""NCBI_GP:EHQ58812.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28405""; note ""COG1005 NADH:ubiquinone oxidoreductase subunit 1 (chain H)""; product ""NADH:ubiquinone oxidoreductase subunit H""; protein_id ""EHQ58812.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000197.1,13085,14182,1097,206085,187.8623519,210189,191.603464,259565,236.6134913,132158,120.4721969,278585,253.9516864,179457,163.5888788,132733,120.9963537,204028,185.9872379,196917,179.5050137,123413,112.5004558,190177,173.3609845,161932,147.6134913,PDENDC454_28410,"""unassigned_transcript_47""; db_xref ""NCBI_GP:EHQ58813.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28410""; note ""COG0649 NADH:ubiquinone oxidoreductase 49 kD subunit 7""; product ""NADH dehydrogenase subunit D""; protein_id ""EHQ58813.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000197.1,14192,15343,1151,177796,154.4708949,177817,154.4891399,195339,169.712424,106791,92.78105995,219633,190.8192876,151151,131.3214596,106426,92.4639444,147361,128.0286707,139597,121.283232,108126,93.94092094,135477,117.7037359,119294,103.643788,PDENDC454_28415,"""unassigned_transcript_48""; db_xref ""NCBI_GP:EHQ58814.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28415""; note ""COG0852 NADH:ubiquinone oxidoreductase 27 kD subunit""; product ""NuoC""; protein_id ""EHQ58814.1""; transl_table ""11""; exon_number ""1"";"
